,tweet_text,sentiment
480,"Viendo semejante monstruo de estadio, una obra arquitectnica maravillosa. Y aca en se atreven a decir nuestros gobernantes que tenemos un estadio de talla mundial. Ay Dios, definitivamente somos muy conformistas.",POSITIVE
481,"Este payaso tiene una fantstica mentalidad y es un magnfico central que es propiedad del que es un equipo TOP MUNDIAL!! Juega en el que es un club HISTRICO en Francia. En serio, ponte a leer para que no exhibas tanta IGNORANCIA",POSITIVE
482,Es que me cuesta tanto que la gente se niegue a utilizarlo... ?,NEGATIVE
483,"Amigo, el verdadero y nico real fan del y a estado siempre. Hoy estn cerca. felicidades",POSITIVE
485,"No me confundas con un andaluz, y el capi bien que perdi el culo para irse al Mandril as que mucho no debe sentir los colores. Oyarzabal para cubrir la falta de feos por si largan a Iturraspe o Sanjotroll",NEGATIVE
486,A lo Tonto a lo Tonto Pedro ya lleva tres goles y eso que sali de suplente pero como siga as se lo va a poner muy difcil a William y Sarri...,NEGATIVE
487,"Estoy viendo al Pogba Campen de . Que gran partido del Francs. Esperemos que este buen rendimiento se vuelva una constante. El est ahogado, pero Paul siempre ayuda.",POSITIVE
488,Siempre es mejor corregir a partir de una victoria... /4 y seguiremos en la punta ??,POSITIVE
489,ltimamente Pogba no ha tenido un buena relacin con Mourinho en ManU Crees que ese factor sea suficiente para que Pogba salga o se quedar en el club??,NEGATIVE
490,SIIIIIIII Y BIEN!!!!!!!!!!!??????????????????????????????????tengo yo uno del estadio dl q me traje pa casa y hace un ruido terrible d....... wayyyyyyy!!! Yo le doi a la pierna y flipo!!!!???,NEGATIVE
491,es el jugador q nunca tuvimos y siempre quisimos,NEGATIVE
492,"Este ao SI es el bueno para m . Lo nico que me trae ms contento que el equipo y/o el resultado es que a aos de ganar el ttulo, predijo nuestra situacion actual. What a time to be alive",POSITIVE
493,"Lo interesante de Shaqiri es que tiene potencia, velocidad y buen toque. Entonces, puede reemplazar a algn volante armador lesionado o que quiera descanse. Asimismo, tambin es buen reemplazo en la mediapunta para Mane y Salah. Muy buena compra y barata.",POSITIVE
494,"Demasiado injusto. Fue de los mejor, sino el mejor, de Francia campen y tuvo un buen ao en",POSITIVE
496,"No.Tienen reflejos iguales, despejan igual y ambos tienen limitacin en la colocacion donde no alcanzan a Curtois, De Gea ni Oblak.Butland, Karius, Pickford, etc son equivalentes y por eso sus fichas valen menos.",NEGATIVE
497,"Es alto(como le gustan a Mou) y no es tosco con el baln(bien para la vista del aficionado).BOATENG, FICHAR",POSITIVE
498,"El ha puesto sus ojos en Yerry Mina. El colombiano, que est en la rampa de salida del , tiene buen cartel en Inglaterra tras su buen Mundial, y la posicin de central es un punto que Mourinho quiere reforzar.",POSITIVE
499,"Si acelera, lo gana. Tiene que aparecer ms Centurin. Est muy bien Saravia. metido atrs, no sale del asedio.",POSITIVE
